<MetaData>
version:3.0
panel : google-fleb
date: 2024/11/22
refresh_rate_base: 60
refresh_rate_target: 120

<VoltageLut>

039F,5.20999
03A0,5.20859
03A1,5.20720
03A2,5.20581
03A3,5.20442
03A4,5.20303
03A5,5.20164
03A6,5.20024
03A7,5.19885
03A8,5.19746
03A9,5.19607
03AA,5.19468
03AB,5.19329
03AC,5.19189
03AD,5.19050
03AE,5.18911
03AF,5.18772
03B0,5.18633
03B1,5.18494
03B2,5.18354
03B3,5.18215
03B4,5.18076
03B5,5.17937
03B6,5.17798
03B7,5.17659
03B8,5.17520
03B9,5.17380
03BA,5.17241
03BB,5.17102
03BC,5.16963
03BD,5.16824
03BE,5.16685
03BF,5.16545
03C0,5.16406
03C1,5.16267
03C2,5.16128
03C3,5.15989
03C4,5.15850
03C5,5.15710
03C6,5.15571
03C7,5.15432
03C8,5.15293
03C9,5.15154
03CA,5.15015
03CB,5.14875
03CC,5.14736
03CD,5.14597
03CE,5.14458
03CF,5.14319
03D0,5.14180
03D1,5.14041
03D2,5.13901
03D3,5.13762
03D4,5.13623
03D5,5.13484
03D6,5.13345
03D7,5.13206
03D8,5.13066
03D9,5.12927
03DA,5.12788
03DB,5.12649
03DC,5.12510
03DD,5.12371
03DE,5.12231
03DF,5.12092
03E0,5.11953
03E1,5.11814
03E2,5.11675
03E3,5.11536
03E4,5.11396
03E5,5.11257
03E6,5.11118
03E7,5.10979
03E8,5.10840
03E9,5.10701
03EA,5.10562
03EB,5.10422
03EC,5.10283
03ED,5.10144
03EE,5.10005
03EF,5.09866
03F0,5.09727
03F1,5.09587
03F2,5.09448
03F3,5.09309
03F4,5.09170
03F5,5.09031
03F6,5.08892
03F7,5.08752
03F8,5.08613
03F9,5.08474
03FA,5.08335
03FB,5.08196
03FC,5.08057
03FD,5.07917
03FE,5.07778
03FF,5.07639
0400,5.07500
0401,5.07361
0402,5.07222
0403,5.07083
0404,5.06943
0405,5.06804
0406,5.06665
0407,5.06526
0408,5.06387
0409,5.06248
040A,5.06108
040B,5.05969
040C,5.05830
040D,5.05691
040E,5.05552
040F,5.05413
0410,5.05273
0411,5.05134
0412,5.04995
0413,5.04856
0414,5.04717
0415,5.04578
0416,5.04438
0417,5.04299
0418,5.04160
0419,5.04021
041A,5.03882
041B,5.03743
041C,5.03604
041D,5.03464
041E,5.03325
041F,5.03186
0420,5.03047
0421,5.02908
0422,5.02769
0423,5.02629
0424,5.02490
0425,5.02351
0426,5.02212
0427,5.02073
0428,5.01934
0429,5.01794
042A,5.01655
042B,5.01516
042C,5.01377
042D,5.01238
042E,5.01099
042F,5.00959
0430,5.00820
0431,5.00681
0432,5.00542
0433,5.00403
0434,5.00264
0435,5.00125
0436,4.99985
0437,4.99846
0438,4.99707
0439,4.99568
043A,4.99429
043B,4.99290
043C,4.99150
043D,4.99011
043E,4.98872
043F,4.98733
0440,4.98594
0441,4.98455
0442,4.98315
0443,4.98176
0444,4.98037
0445,4.97898
0446,4.97759
0447,4.97620
0448,4.97480
0449,4.97341
044A,4.97202
044B,4.97063
044C,4.96924
044D,4.96785
044E,4.96646
044F,4.96506
0450,4.96367
0451,4.96228
0452,4.96089
0453,4.95950
0454,4.95811
0455,4.95671
0456,4.95532
0457,4.95393
0458,4.95254
0459,4.95115
045A,4.94976
045B,4.94836
045C,4.94697
045D,4.94558
045E,4.94419
045F,4.94280
0460,4.94141
0461,4.94001
0462,4.93862
0463,4.93723
0464,4.93584
0465,4.93445
0466,4.93306
0467,4.93167
0468,4.93027
0469,4.92888
046A,4.92749
046B,4.92610
046C,4.92471
046D,4.92332
046E,4.92192
046F,4.92053
0470,4.91914
0471,4.91775
0472,4.91636
0473,4.91497
0474,4.91357
0475,4.91218
0476,4.91079
0477,4.90940
0478,4.90801
0479,4.90662
047A,4.90522
047B,4.90383
047C,4.90244
047D,4.90105
047E,4.89966
047F,4.89827
0480,4.89688
0481,4.89548
0482,4.89409
0483,4.89270
0484,4.89131
0485,4.88992
0486,4.88853
0487,4.88713
0488,4.88574
0489,4.88435
048A,4.88296
048B,4.88157
048C,4.88018
048D,4.87878
048E,4.87739
048F,4.87600
0490,4.87461
0491,4.87322
0492,4.87183
0493,4.87043
0494,4.86904
0495,4.86765
0496,4.86626
0497,4.86487
0498,4.86348
0499,4.86208
049A,4.86069
049B,4.85930
049C,4.85791
049D,4.85652
049E,4.85513
049F,4.85374
04A0,4.85234
04A1,4.85095
04A2,4.84956
04A3,4.84817
04A4,4.84678
04A5,4.84539
04A6,4.84399
04A7,4.84260
04A8,4.84121
04A9,4.83982
04AA,4.83843
04AB,4.83704
04AC,4.83564
04AD,4.83425
04AE,4.83286
04AF,4.83147
04B0,4.83008
04B1,4.82869
04B2,4.82729
04B3,4.82590
04B4,4.82451
04B5,4.82312
04B6,4.82173
04B7,4.82034
04B8,4.81895
04B9,4.81755
04BA,4.81616
04BB,4.81477
04BC,4.81338
04BD,4.81199
04BE,4.81060
04BF,4.80920
04C0,4.80781
04C1,4.80642
04C2,4.80503
04C3,4.80364
04C4,4.80225
04C5,4.80085
04C6,4.79946
04C7,4.79807
04C8,4.79668
04C9,4.79529
04CA,4.79390
04CB,4.79250
04CC,4.79111
04CD,4.78972
04CE,4.78833
04CF,4.78694
04D0,4.78555
04D1,4.78416
04D2,4.78276
04D3,4.78137
04D4,4.77998
04D5,4.77859
04D6,4.77720
04D7,4.77581
04D8,4.77441
04D9,4.77302
04DA,4.77163
04DB,4.77024
04DC,4.76885
04DD,4.76746
04DE,4.76606
04DF,4.76467
04E0,4.76328
04E1,4.76189
04E2,4.76050
04E3,4.75911
04E4,4.75771
04E5,4.75632
04E6,4.75493
04E7,4.75354
04E8,4.75215
04E9,4.75076
04EA,4.74937
04EB,4.74797
04EC,4.74658
04ED,4.74519
04EE,4.74380
04EF,4.74241
04F0,4.74102
04F1,4.73962
04F2,4.73823
04F3,4.73684
04F4,4.73545
04F5,4.73406
04F6,4.73267
04F7,4.73127
04F8,4.72988
04F9,4.72849
04FA,4.72710
04FB,4.72571
04FC,4.72432
04FD,4.72292
04FE,4.72153
04FF,4.72014
0500,4.71875
0501,4.71736
0502,4.71597
0503,4.71458
0504,4.71318
0505,4.71179
0506,4.71040
0507,4.70901
0508,4.70762
0509,4.70623
050A,4.70483
050B,4.70344
050C,4.70205
050D,4.70066
050E,4.69927
050F,4.69788
0510,4.69648
0511,4.69509
0512,4.69370
0513,4.69231
0514,4.69092
0515,4.68953
0516,4.68813
0517,4.68674
0518,4.68535
0519,4.68396
051A,4.68257
051B,4.68118
051C,4.67979
051D,4.67839
051E,4.67700
051F,4.67561
0520,4.67422
0521,4.67283
0522,4.67144
0523,4.67004
0524,4.66865
0525,4.66726
0526,4.66587
0527,4.66448
0528,4.66309
0529,4.66169
052A,4.66030
052B,4.65891
052C,4.65752
052D,4.65613
052E,4.65474
052F,4.65334
0530,4.65195
0531,4.65056
0532,4.64917
0533,4.64778
0534,4.64639
0535,4.64500
0536,4.64360
0537,4.64221
0538,4.64082
0539,4.63943
053A,4.63804
053B,4.63665
053C,4.63525
053D,4.63386
053E,4.63247
053F,4.63108
0540,4.62969
0541,4.62830
0542,4.62690
0543,4.62551
0544,4.62412
0545,4.62273
0546,4.62134
0547,4.61995
0548,4.61855
0549,4.61716
054A,4.61577
054B,4.61438
054C,4.61299
054D,4.61160
054E,4.61021
054F,4.60881
0550,4.60742
0551,4.60603
0552,4.60464
0553,4.60325
0554,4.60186
0555,4.60046
0556,4.59907
0557,4.59768
0558,4.59629
0559,4.59490
